step,cum_flops,train_loss,val_loss,phase_idx,active_groups,trainable_params
50,835308748800.0,3.3513,3.384,0,0,926784
100,1670617497600.0,3.2196,3.2113,0,0,926784
150,2505926246400.0,3.1587,3.1612,0,0,926784
200,3341234995200.0,3.1352,3.1452,0,0,926784
250,4176543744000.0,3.1064,3.1334,0,0,926784
300,5011852492800.0,3.1106,3.118,0,0,926784
350,5847161241600.0,3.1391,3.1055,0,0,926784
400,6682469990400.0,3.0787,3.0914,0,0,926784
450,7517778739200.0,3.0936,3.071,0,0,926784
500,8353087488000.0,3.0566,3.066,0,0,926784
550,9188396236800.0,3.0041,3.0441,0,0,926784
600,10023704985600.0,3.0563,3.0116,0,0,926784
650,10859013734400.0,2.9659,3.002,0,0,926784
700,11694322483200.0,2.9626,2.9287,0,0,926784
750,12529631232000.0,2.8993,2.9266,0,0,926784
800,13364939980800.0,2.875,2.9111,0,0,926784
850,14200248729600.0,2.8813,2.8861,1,01,926784
900,15035557478400.0,2.9095,2.8922,1,01,1816512
950,15870866227200.0,2.903,2.8621,1,01,1816512
1000,16706174976000.0,2.8235,2.8228,1,01,1816512
1050,17541483724800.0,2.7722,2.8239,1,01,1816512
1100,18376792473600.0,2.7462,2.8251,1,01,1816512
1150,19212101222400.0,2.6876,2.8102,2,012,1816512
1200,20047409971200.0,2.3032,2.2616,2,012,2719104
1250,20882718720000.0,2.105,2.1386,2,012,2719104
1300,21718027468800.0,2.0143,2.1363,2,012,2719104
1350,22553336217600.0,2.0315,2.0761,2,012,2719104
1400,23388644966400.0,1.9742,2.0656,2,012,2719104
1450,24223953715200.0,1.8971,2.0568,2,012,2719104
1500,25059262464000.0,1.8871,2.0522,2,012,2719104
1550,25894571212800.0,1.9866,2.0296,2,012,2719104
1600,26729879961600.0,1.9198,1.9787,2,012,2719104
1650,27565188710400.0,1.8047,1.9727,2,012,2719104
1700,28400497459200.0,1.8145,1.9763,2,012,2719104
1750,29235806208000.0,1.7494,1.9444,2,012,2719104
1800,30071114956800.0,1.7306,1.9381,2,012,2719104
1850,30906423705600.0,1.8006,1.9427,2,012,2719104
1900,31741732454400.0,1.7329,1.9296,2,012,2719104
1950,32577041203200.0,1.7294,1.9258,2,012,2719104
2000,33412349952000.0,1.8312,1.9552,2,012,2719104
2050,34247658700800.0,1.7499,1.9025,2,012,2719104
2100,35082967449600.0,1.666,1.9111,2,012,2719104
2150,35918276198400.0,1.7328,1.8866,2,012,2719104
2200,36753584947200.0,1.7611,1.9025,2,012,2719104
2250,37588893696000.0,1.7263,1.8756,2,012,2719104
2300,38424202444800.0,1.7799,1.8544,2,012,2719104
2350,39259511193600.0,1.6919,1.8714,2,012,2719104
2400,40094819942400.0,1.5927,1.8555,2,012,2719104
2450,40930128691200.0,1.835,1.8654,2,012,2719104
2500,41765437440000.0,1.735,1.8529,2,012,2719104
