step,cum_flops,train_loss,val_loss,phase_idx,active_groups,trainable_params
50,463287091200.0,3.2972,3.3712,0,2,902592
100,926574182400.0,3.2886,3.3084,0,2,902592
150,1389861273600.0,3.0346,3.0781,0,2,902592
200,1853148364800.0,2.8669,2.874,0,2,902592
250,2316435456000.0,2.6944,2.7946,0,2,902592
300,2779722547200.0,2.7278,2.7252,0,2,902592
350,3243009638400.0,2.7218,2.6704,0,2,902592
400,3706296729600.0,2.6796,2.621,0,2,902592
450,4169583820800.0,2.6005,2.5736,0,2,902592
500,4632870912000.0,2.5093,2.5754,0,2,902592
550,5096158003200.0,2.4654,2.528,0,2,902592
600,5559445094400.0,2.551,2.5044,0,2,902592
650,6022732185600.0,2.4504,2.49,0,2,902592
700,6486019276800.0,2.4622,2.4225,0,2,902592
750,6949306368000.0,2.465,2.4366,0,2,902592
800,7412593459200.0,2.443,2.4079,0,2,902592
850,7875880550400.0,2.4061,2.3982,0,2,902592
900,8339167641600.0,2.4217,2.415,0,2,902592
950,8802454732800.0,2.4129,2.3783,0,2,902592
1000,9265741824000.0,2.3762,2.3563,0,2,902592
1050,9729028915200.0,2.3111,2.3431,0,2,902592
1100,10192316006400.0,2.2536,2.3232,0,2,902592
1150,10655603097600.0,2.233,2.3086,0,2,902592
1200,11118890188800.0,2.3411,2.2972,0,2,902592
1250,11582177280000.0,2.2526,2.2528,0,2,902592
1300,12045464371200.0,2.1988,2.2875,0,2,902592
1350,12508751462400.0,2.2709,2.2448,0,2,902592
1400,12972038553600.0,2.1844,2.247,1,12,902592
1450,13617541939200.0,2.2279,2.2855,1,12,1792320
1500,14263045324800.0,2.1592,2.2566,1,12,1792320
1550,14908548710400.0,2.2297,2.2404,1,12,1792320
1600,15554052096000.0,2.2374,2.2194,1,12,1792320
1650,16199555481600.0,2.1328,2.1886,1,12,1792320
1700,16845058867200.0,2.1019,2.2129,1,12,1792320
1750,17490562252800.0,2.0304,2.1765,1,12,1792320
1800,18136065638400.0,2.0817,2.1704,2,012,1792320
1850,18971374387200.0,2.5782,2.5343,2,012,2719104
1900,19806683136000.0,2.0735,2.1583,2,012,2719104
1950,20641991884800.0,2.0533,2.1482,2,012,2719104
2000,21477300633600.0,2.0872,2.1202,2,012,2719104
2050,22312609382400.0,2.0095,2.0745,2,012,2719104
2100,23147918131200.0,1.9557,2.0817,2,012,2719104
2150,23983226880000.0,2.0234,2.0477,2,012,2719104
2200,24818535628800.0,2.0431,2.0669,2,012,2719104
2250,25653844377600.0,2.0077,2.0389,2,012,2719104
2300,26489153126400.0,1.954,2.0231,2,012,2719104
2350,27324461875200.0,1.9451,2.0161,2,012,2719104
2400,28159770624000.0,1.8316,2.0065,2,012,2719104
2450,28995079372800.0,2.0227,2.0091,2,012,2719104
2500,29830388121600.0,1.9457,1.9863,2,012,2719104
2550,30665696870400.0,1.9388,1.9746,2,012,2719104
2600,31501005619200.0,1.9149,1.9881,2,012,2719104
2650,32336314368000.0,1.9278,1.9761,2,012,2719104
2700,33171623116800.0,1.9019,1.977,2,012,2719104
2750,34006931865600.0,1.927,1.9661,2,012,2719104
2800,34842240614400.0,1.9614,1.9551,2,012,2719104
2850,35677549363200.0,1.8703,1.9556,2,012,2719104
2900,36512858112000.0,1.7829,1.9523,2,012,2719104
2950,37348166860800.0,1.7426,1.9584,2,012,2719104
3000,38183475609600.0,1.9017,1.9496,2,012,2719104
3050,39018784358400.0,1.8193,1.9312,2,012,2719104
3100,39854093107200.0,1.7677,1.9527,2,012,2719104
3150,40689401856000.0,1.7009,1.9079,2,012,2719104
3200,41524710604800.0,1.7361,1.92,2,012,2719104
