step,cum_flops,train_loss,val_loss,phase_idx,active_groups,trainable_params
50,463287091200.0,3.2972,3.3712,0,2,902592
100,926574182400.0,3.2886,3.3084,0,2,902592
150,1389861273600.0,3.0346,3.0781,0,2,902592
200,1853148364800.0,2.8669,2.874,0,2,902592
250,2316435456000.0,2.6944,2.7946,0,2,902592
300,2779722547200.0,2.7278,2.7252,0,2,902592
350,3243009638400.0,2.7218,2.6704,0,2,902592
400,3706296729600.0,2.6796,2.621,0,2,902592
450,4169583820800.0,2.6005,2.5736,0,2,902592
500,4632870912000.0,2.5093,2.5754,0,2,902592
550,5096158003200.0,2.4654,2.528,0,2,902592
600,5559445094400.0,2.551,2.5044,0,2,902592
650,6022732185600.0,2.4504,2.49,0,2,902592
700,6486019276800.0,2.4622,2.4225,0,2,902592
750,6949306368000.0,2.465,2.4366,0,2,902592
800,7412593459200.0,2.443,2.4079,0,2,902592
850,7875880550400.0,2.4061,2.3982,0,2,902592
900,8339167641600.0,2.4217,2.415,0,2,902592
950,8802454732800.0,2.4129,2.3783,0,2,902592
1000,9265741824000.0,2.3762,2.3563,0,2,902592
1050,9729028915200.0,2.3111,2.3431,0,2,902592
1100,10192316006400.0,2.2536,2.3232,0,2,902592
1150,10655603097600.0,2.233,2.3086,0,2,902592
1200,11118890188800.0,2.3411,2.2972,0,2,902592
1250,11582177280000.0,2.2526,2.2528,0,2,902592
1300,12045464371200.0,2.1988,2.2875,0,2,902592
1350,12508751462400.0,2.2709,2.2448,0,2,902592
1400,12972038553600.0,2.1844,2.247,1,1,902592
1450,13617541939200.0,2.1729,2.2525,1,1,889728
1500,14263045324800.0,2.1686,2.2321,1,1,889728
1550,14908548710400.0,2.2269,2.235,1,1,889728
1600,15554052096000.0,2.2361,2.2141,1,1,889728
1650,16199555481600.0,2.1625,2.1973,1,1,889728
1700,16845058867200.0,2.1268,2.2164,1,1,889728
1750,17490562252800.0,2.1059,2.1989,1,1,889728
1800,18136065638400.0,2.1316,2.1851,2,0,889728
1850,18971374387200.0,2.1878,2.19,2,0,926784
1900,19806683136000.0,2.0755,2.156,2,0,926784
1950,20641991884800.0,2.0951,2.1718,2,0,926784
2000,21477300633600.0,2.1463,2.1672,2,0,926784
2050,22312609382400.0,2.0796,2.1386,2,0,926784
2100,23147918131200.0,2.0318,2.1415,2,0,926784
2150,23983226880000.0,2.1325,2.1206,2,0,926784
2200,24818535628800.0,2.1189,2.1509,2,0,926784
2250,25653844377600.0,2.1327,2.1149,2,0,926784
2300,26489153126400.0,2.0715,2.1204,2,0,926784
2350,27324461875200.0,2.0995,2.1214,2,0,926784
2400,28159770624000.0,2.0082,2.1059,2,0,926784
2450,28995079372800.0,2.172,2.1115,2,0,926784
2500,29830388121600.0,2.0668,2.1064,2,0,926784
2550,30665696870400.0,2.0971,2.1065,2,0,926784
2600,31501005619200.0,2.0903,2.1165,2,0,926784
2650,32336314368000.0,2.082,2.1079,2,0,926784
2700,33171623116800.0,2.0837,2.1238,2,0,926784
2750,34006931865600.0,2.1316,2.1204,2,0,926784
2800,34842240614400.0,2.1618,2.1108,2,0,926784
2850,35677549363200.0,2.0818,2.1033,2,0,926784
2900,36512858112000.0,2.038,2.0974,2,0,926784
2950,37348166860800.0,2.0392,2.1163,2,0,926784
3000,38183475609600.0,2.1121,2.1112,2,0,926784
3050,39018784358400.0,2.0503,2.0958,2,0,926784
3100,39854093107200.0,2.006,2.1133,2,0,926784
3150,40689401856000.0,1.981,2.0832,2,0,926784
3200,41524710604800.0,2.0176,2.0942,2,0,926784
