step,cum_flops,train_loss,val_loss,phase_idx,active_groups,trainable_params
50,835308748800.0,3.0477,3.1129,0,012,2719104
100,1670617497600.0,2.7471,2.7131,0,012,2719104
150,2505926246400.0,2.612,2.6157,0,012,2719104
200,3341234995200.0,2.5533,2.5579,0,012,2719104
250,4176543744000.0,2.4705,2.5263,0,012,2719104
300,5011852492800.0,2.5045,2.5073,0,012,2719104
350,5847161241600.0,2.5366,2.4813,0,012,2719104
400,6682469990400.0,2.432,2.4562,0,012,2719104
450,7517778739200.0,2.4284,2.4297,0,012,2719104
500,8353087488000.0,2.3644,2.4089,0,012,2719104
550,9188396236800.0,2.3081,2.3707,0,012,2719104
600,10023704985600.0,2.394,2.3262,0,012,2719104
650,10859013734400.0,2.2689,2.3323,0,012,2719104
700,11694322483200.0,2.2847,2.2397,0,012,2719104
750,12529631232000.0,2.2041,2.234,0,012,2719104
800,13364939980800.0,2.1775,2.209,0,012,2719104
850,14200248729600.0,2.1616,2.1726,0,012,2719104
900,15035557478400.0,2.1574,2.1795,0,012,2719104
950,15870866227200.0,2.1923,2.1447,0,012,2719104
1000,16706174976000.0,2.0929,2.0896,0,012,2719104
1050,17541483724800.0,2.0122,2.0929,0,012,2719104
1100,18376792473600.0,1.9811,2.0851,0,012,2719104
1150,19212101222400.0,1.9249,2.0551,0,012,2719104
1200,20047409971200.0,2.0657,2.0462,0,012,2719104
1250,20882718720000.0,1.9847,1.9989,0,012,2719104
1300,21718027468800.0,1.9307,2.0347,0,012,2719104
1350,22553336217600.0,1.9558,1.9928,0,012,2719104
1400,23388644966400.0,1.8906,1.9977,0,012,2719104
1450,24223953715200.0,1.8048,1.9856,0,012,2719104
1500,25059262464000.0,1.7991,1.975,0,012,2719104
1550,25894571212800.0,1.8966,1.9688,0,012,2719104
1600,26729879961600.0,1.871,1.9105,0,012,2719104
1650,27565188710400.0,1.7423,1.9265,0,012,2719104
1700,28400497459200.0,1.7759,1.9184,0,012,2719104
1750,29235806208000.0,1.687,1.9024,0,012,2719104
1800,30071114956800.0,1.6678,1.8854,0,012,2719104
1850,30906423705600.0,1.7434,1.8816,0,012,2719104
1900,31741732454400.0,1.6684,1.8621,0,012,2719104
1950,32577041203200.0,1.6862,1.8823,0,012,2719104
2000,33412349952000.0,1.77,1.9001,0,012,2719104
2050,34247658700800.0,1.704,1.8537,0,012,2719104
2100,35082967449600.0,1.61,1.8688,0,012,2719104
2150,35918276198400.0,1.6956,1.8343,0,012,2719104
2200,36753584947200.0,1.7196,1.8559,0,012,2719104
2250,37588893696000.0,1.6554,1.8339,0,012,2719104
2300,38424202444800.0,1.7094,1.816,0,012,2719104
2350,39259511193600.0,1.6358,1.8276,0,012,2719104
2400,40094819942400.0,1.5165,1.8101,0,012,2719104
2450,40930128691200.0,1.7715,1.814,0,012,2719104
2500,41765437440000.0,1.6827,1.811,0,012,2719104
