step,cum_flops,train_loss,val_loss,phase_idx,active_groups,trainable_params
50,463287091200.0,3.2972,3.3712,0,2,902592
100,926574182400.0,3.2886,3.3084,0,2,902592
150,1389861273600.0,3.0346,3.0781,0,2,902592
200,1853148364800.0,2.8669,2.874,0,2,902592
250,2316435456000.0,2.6944,2.7946,0,2,902592
300,2779722547200.0,2.7278,2.7252,0,2,902592
350,3243009638400.0,2.7218,2.6704,0,2,902592
400,3706296729600.0,2.6796,2.621,0,2,902592
450,4169583820800.0,2.6005,2.5736,0,2,902592
500,4632870912000.0,2.5093,2.5754,0,2,902592
550,5096158003200.0,2.4654,2.528,0,2,902592
600,5559445094400.0,2.551,2.5044,0,2,902592
650,6022732185600.0,2.4504,2.49,1,1,902592
700,6668235571200.0,2.5007,2.4766,1,1,889728
750,7313738956800.0,2.4717,2.4578,1,1,889728
800,7959242342400.0,2.4843,2.4515,1,1,889728
850,8604745728000.0,2.4483,2.4367,1,1,889728
900,9250249113600.0,2.471,2.4652,1,1,889728
950,9895752499200.0,2.4692,2.4335,2,0,889728
1000,10731061248000.0,2.4523,2.4268,2,0,926784
1050,11566369996800.0,2.343,2.3826,2,0,926784
1100,12401678745600.0,2.297,2.3639,2,0,926784
1150,13236987494400.0,2.2866,2.3629,2,0,926784
1200,14072296243200.0,2.3901,2.3614,2,0,926784
1250,14907604992000.0,2.3039,2.3268,2,0,926784
1300,15742913740800.0,2.3045,2.3537,2,0,926784
1350,16578222489600.0,2.3649,2.3379,2,0,926784
